zone,object,component,index,concentration
1,0,0,0,3.854343992178925e-19
1,0,0,1,3.895911873097765e-19
1,0,0,2,3.937928050465388e-19
1,0,0,3,3.9803973590172097e-19
1,0,0,4,4.0233246856297353e-19
1,0,0,5,4.0667149698828903e-19
1,0,0,6,4.1105732046284066e-19
1,0,0,7,4.154904436564343e-19
1,0,0,8,4.199713766815799e-19
1,0,0,9,4.2450063515218983e-19
1,0,0,10,4.290787402429094e-19
1,0,0,11,4.33706218749087e-19
1,0,0,12,4.3838360314739305e-19
1,0,0,13,4.431114316570897e-19
1,0,0,14,4.478902483019648e-19
1,0,0,15,4.5272060297292935e-19
1,0,0,16,4.576030514912945e-19
1,0,0,17,4.625381556727285e-19
1,0,0,18,4.67526483391904e-19
1,0,0,19,4.72568608647842e-19
1,0,1,0,1.439314952026631e-32
1,0,1,1,1.4548375085633462e-32
1,0,1,2,1.4705274709628972e-32
1,0,1,3,1.486386644644567e-32
1,0,1,4,1.5024168544985165e-32
1,0,1,5,1.518619945095769e-32
1,0,1,6,1.5349977809004632e-32
1,0,1,7,1.5515522464843934e-32
1,0,1,8,1.5682852467438646e-32
1,0,1,9,1.5851987071188858e-32
1,0,1,10,1.6022945738147292e-32
1,0,1,11,1.6195748140258738e-32
1,0,1,12,1.6370414161623688e-32
1,0,1,13,1.6546963900786378e-32
1,0,1,14,1.6725417673047483e-32
1,0,1,15,1.6905796012801756e-32
1,0,1,16,1.7088119675900922e-32
1,0,1,17,1.7272409642042004e-32
1,0,1,18,1.745868711718141e-32
1,0,1,19,1.7646973535975085e-32
1,1,0,0,2.3381143728509174e-10
1,1,0,1,3.600418863190166e-10
1,1,0,2,5.400800529219274e-10
1,1,0,3,7.939597546551785e-10
1,1,0,4,1.1484549173107954e-09
1,1,0,5,1.6391548505678404e-09
1,1,0,6,2.3131259179069223e-09
1,1,0,7,3.232311059572351e-09
1,1,0,8,4.477854007132385e-09
1,1,0,9,6.155577731166827e-09
1,1,0,10,8.402897980770663e-09
1,1,0,11,1.1397514172553796e-08
1,1,0,12,1.5368293025074107e-08
1,1,0,13,2.060884707091415e-08
1,1,0,14,2.749441258218544e-08
1,1,0,15,3.6502751801969586e-08
1,1,0,16,4.8239945188371326e-08
1,1,0,17,6.347210336876199e-08
1,1,0,18,8.316421859388666e-08
1,1,0,19,1.0852759478672658e-07
1,1,0,20,1.4107754707207542e-07
1,1,0,21,1.8270334934599317e-07
1,1,0,22,2.357527354706026e-07
1,1,0,23,3.0313362954264284e-07
1,1,0,24,3.884361968038865e-07
1,1,0,25,4.960787724033228e-07
1,1,0,26,6.314817433888388e-07
1,1,0,27,8.012740326196157e-07
1,1,0,28,1.0135374638469037e-06
1,1,0,29,1.2780949764318348e-06
1,1,0,30,1.6068494066343649e-06
1,1,0,31,2.014180359677708e-06
1,1,0,32,2.5174075612235426e-06
1,1,0,33,3.1373299954460006e-06
1,1,0,34,3.898851104945495e-06
1,1,0,35,4.8317013389088065e-06
1,1,0,36,5.971270381876737e-06
1,1,0,37,7.359562465818338e-06
1,1,0,38,9.04628925031771e-06
1,1,0,39,1.1090115834655572e-05
1,1,0,40,1.3560076524184088e-05
1,1,0,41,1.6537177992113305e-05
1,1,0,42,2.011620843488161e-05
1,1,0,43,2.4407772190828124e-05
1,1,0,44,2.9540570052228066e-05
1,1,0,45,3.566394612266343e-05
1,1,0,46,4.295072252682707e-05
1,1,0,47,5.1600343539184005e-05
1,1,0,48,6.184235073237745e-05
1,1,0,49,7.394021052737524e-05
1,1,0,50,8.819551502794731e-05
1,1,0,51,0.00010495257621708645
1,1,0,52,0.00012460343246032768
1,1,0,53,0.0001475932847822721
1,1,0,54,0.00017442637854432567
1,1,0,55,0.00020567234394553577
1,1,0,56,0.00024197300619247184
1,1,0,57,0.00028404967324318524
1,1,0,58,0.0003327109057365329
1,1,0,59,0.0003888607700910698
1,1,0,60,0.00045350757182409043
1,1,0,61,0.000527773061934522
1,1,0,62,0.0006129021047515332
1,1,0,63,0.0007102727910146842
1,1,0,64,0.0008214069751600046
1,1,0,65,0.0009479812108695617
1,1,0,66,0.0010918380539098598
1,1,0,67,0.0012549976961088133
1,1,0,68,0.0014396698889078683
1,1,0,69,0.001648266109067787
1,1,0,70,0.0018834119124090571
1,1,0,71,0.002147959413226842
1,1,0,72,0.002444999816024616
1,1,0,73,0.0027778759104190713
1,1,0,74,0.0031501944160838985
1,1,0,75,0.0035658380268096773
1,1,0,76,0.00402897694193545
1,1,0,77,0.004544079574435126
1,1,0,78,0.005115921963097915
1,1,0,79,0.005749595151170352
1,1,0,80,0.006450509359747101
1,1,0,81,0.007224393074011883
1,1,0,82,0.008077283999997088
1,1,0,83,0.0090155069560258
1,1,0,84,0.010045630677651896
1,1,0,85,0.011174390494470075
1,1,0,86,0.012408555679035574
1,1,0,87,0.013754707029053922
1,1,0,88,0.015218868788115535
1,1,0,89,0.016805904284186587
1,1,0,90,0.01851852853696002
1,1,0,91,0.020355700488246146
1,1,0,92,0.02231001147853186
1,1,0,93,0.02436345154042757
1,1,0,94,0.026480557281424285
1,1,0,95,0.028597338785267146
1,1,0,96,0.03060341127292796
1,1,0,97,0.032313202472557874
1,1,0,98,0.033419622711542765
1,1,0,99,0.03341962271177688
1,1,1,0,7.489807739428358e-32
1,1,1,1,1.2294952260059015e-31
1,1,1,2,2.006112942502206e-31
1,1,1,3,3.255513438593543e-31
1,1,1,4,5.256963662902714e-31
1,1,1,5,8.450469311193631e-31
1,1,1,6,1.3527174336069201e-30
1,1,1,7,2.156952933222114e-30
1,1,1,8,3.4268084369897525e-30
1,1,1,9,5.425597707581839e-30
1,1,1,10,8.56237869064441e-30
1,1,1,11,1.347101781982372e-29
1,1,1,12,2.1131331064040444e-29
1,1,1,13,3.3054282323242115e-29
1,1,1,14,5.156449530885025e-29
1,1,1,15,8.023029156029472e-29
1,1,1,16,1.2451691621512272e-28
1,1,1,17,1.9277673266947044e-28
1,1,1,18,2.9774715451174447e-28
1,1,1,19,4.58812112613666e-28
1,1,1,20,7.054094837887138e-28
1,1,1,21,1.0821551298007337e-27
1,1,1,22,1.656533447401794e-27
1,1,1,23,2.5304178660291783e-27
1,1,1,24,3.857295994592595e-27
1,1,1,25,5.867976003233502e-27
1,1,1,26,8.908879088504902e-27
1,1,1,27,1.3498975565147188e-26
1,1,1,28,2.0414287676188046e-26
1,1,1,29,3.081307989537314e-26
1,1,1,30,4.6420995750341316e-26
1,1,1,31,6.980436041498937e-26
1,1,1,32,1.047729250870621e-25
1,1,1,33,1.5697232246696785e-25
1,1,1,34,2.3475408411647286e-25
1,1,1,35,3.5045105486357694e-25
1,1,1,36,5.222439054777832e-25
1,1,1,37,7.768880477642927e-25
1,1,1,38,1.1536908394317948e-24
1,1,1,39,1.710302595571847e-24
1,1,1,40,2.5311345179350228e-24
1,1,1,41,3.7395748517402704e-24
1,1,1,42,5.515687788129932e-24
1,1,1,43,8.121813717067579e-24
1,1,1,44,1.1939537739785759e-23
1,1,1,45,1.7522987920270413e-23
1,1,1,46,2.5675552094508666e-23
1,1,1,47,3.756012514404812e-23
1,1,1,48,5.485728768442326e-23
1,1,1,49,7.99918924214158e-23
1,1,1,50,1.1645712604149334e-22
1,1,1,51,1.6927724511078088e-22
1,1,1,52,2.4566728432803587e-22
1,1,1,53,3.55972101633315e-22
1,1,1,54,5.150009409069335e-22
1,1,1,55,7.439211334688407e-22
1,1,1,56,1.0729410070750908e-21
1,1,1,57,1.5451049920983376e-21
1,1,1,58,2.22165364876047e-21
1,1,1,59,3.189582181283151e-21
1,1,1,60,4.57228268365596e-21
1,1,1,61,6.5445050602790796e-21
1,1,1,62,9.353356670747996e-21
1,1,1,63,1.3347732593380795e-20
1,1,1,64,1.9019497333382226e-20
1,1,1,65,2.706102103803727e-20
1,1,1,66,3.844544016194015e-20
1,1,1,67,5.453844293318063e-20
1,1,1,68,7.725371695683639e-20
1,1,1,69,1.092687691932764e-19
1,1,1,70,1.5432408222823257e-19
1,1,1,71,2.176371038859151e-19
1,1,1,72,3.0647418183877506e-19
1,1,1,73,4.3093931920652263e-19
1,1,1,74,6.050599535773414e-19
1,1,1,75,8.48278699205384e-19
1,1,1,76,1.1874985272306255e-18
1,1,1,77,1.659880212708721e-18
1,1,1,78,2.3166587608886204e-18
1,1,1,79,3.228334280810037e-18
1,1,1,80,4.4917070564522894e-18
1,1,1,81,6.2393704769598465e-18
1,1,1,82,8.652450630350303e-18
1,1,1,83,1.1977582801992516e-17
1,1,1,84,1.654932337601987e-17
1,1,1,85,2.2819361325482487e-17
1,1,1,86,3.139390827119962e-17
1,1,1,87,4.308028868674227e-17
1,1,1,88,5.8942588246566e-17
1,1,1,89,8.036341926165494e-17
1,1,1,90,1.0910287024447958e-16
1,1,1,91,1.4733363267309633e-16
1,1,1,92,1.9760782926556807e-16
1,1,1,93,2.6266650018600416e-16
1,1,1,94,3.4491940113584044e-16
1,1,1,95,4.45268812382134e-16
1,1,1,96,5.606688761562861e-16
